Species,Tissue,CellType,Marker,Resource
Human,Brain,Oligodendrocyte precursor cell,"PDGFRA, OLIG1, OLIG2, SOX10, CSPG4, PCDH15, DLL3, VCAN, SIRT2, TNR, ALCAM, APOD, ASCL1, ATP1B1, BAMBI, C1orf61, C1QL1, CDO1, CLDND1, CMTM5, CTHRC1, CTSO, DBNDD2, DUSP6, EPN2, ETV1, GPNMB, GPR17, GPR37L1, HES6, IGFBP2, ITM2C, KLK6, LHFPL3, LINC00937, MBP, MEG3, MEGF11, MROH9, MYT1, NCALD, NES, NEU4, PCDH9, PHLDA1, PLLP, PON2, PPP1R14A, PTN, PTPRZ1, RAB40B, RGCC, S100B, SCD5, SCRG1, SERPINE2, SLC8B1, SOX6, SPRY4, SPSB4, STMN4","31958186, 35236372, 35260865, 33241205, 34671548, 34374948, 32961131, 34737447, 35245443, 35681503, 36054938, 34473054, 32976581, 32641768, 35735919, 35327982, 35210419, 34616070, 30041684, 29674595, 35688820, 27105664, 18281150, 26060301"
Human,Brain,Pericyte,"PDGFRB, RGS5, CD248, ABCC9, AMBP, CD19, CSPG4, KCNJ8, ABCA9, ACTA2, AGRN, ANPEP, AOC3, COX4I2, EDNRA, FN1, FOXF2, HIGD1B, NOTCH3, P2RY14, PDE5A, PTH1R","33723434, 35236372, 33241205, 32961131, 34228647, 35245443, 32976581, 25360079, 24418464"
Human,Brain,Peripheral nervous system neuron,PRPH,33470930
Human,Brain,Plasma cell,"IGHG3, DERL1, FKBP11, IGHA1, IGHG1, IGHG4","33782623, 34671548, 35534852"
Human,Brain,Plasmacytoid dendritic cell,"GAS5, IGLC2, IL32, IL3RA, LILRA4","33782623, 34671548"
Human,Brain,Progenitor cell,"EOMES, SOX2, EGFR, PAX6, VIM, ALCAM, ASCL1, CENPF, GFAP, ID3, MKI67, NES, NEUROG2, NGFR, SOX10, TOP2A","33723434, 34374948, 35210419, 32670003, 33470930, 35688820, 22166264"
Human,Brain,Purkinje cell,"CLMP, EML5, MPRIP, TFAP2B, TMEM117","32976581, 15805417"
Human,Brain,Radial glial cell,"HOPX, SOX2, FABP7, HES1, PDGFD, CRYAB, FAM107A, LIFR, PAX6, SLC1A3, TNC, ANXA1, ANXA2, APOE, ASCL1, CD38, CXCL12, EGFR, FEZF1, GLI3, GPX3, HMGB2, MT1E, NES, PDGFRB, TCF7L2, TMEM47, VIM","33723434, 32051547, 34671548, 34374948, 35964138, 33158872, 35210419, 32670003, 34616070"
Human,Brain,Regulatory T cell,"CD4, IL2RA, CCR8, FOXP3, STAT5B, TGFB1","33782623, 36111134, 26667180"
Human,Brain,Retinal ganglion cell,"NEFL, NEFM, PCP4",32051547
Human,Brain,Sensory neuron,"FGF3, GAL, ISL1, NTRK2, PHOX2B, PIEZO2, POU4F1, PRPH, SCN9A, SSTR2, TAC1",33470930
Human,Brain,Stem cell,"SOX2, CDKN1C, CORO1A, H3P47, LGR5, NANOG, NES, NFIA, PAX6, POU5F1, PROM1, SOX1, SOX11","35210419, 33470930, 32041837, 32253265, 25451725, 24113065"
Human,Brain,T cell,"CD3D, CD3E, CD3G, CD2, IL32, PTPRC, CD8A, GZMH, GZMK, ICOS, IL2RB, IL7R, PRF1","34671548, 34692159, 33749664, 34434898, 34805184, 33257666, 34077540, 34228647, 35653194, 32051591, 35416251, 36111134, 32041837, 18825001, 29618649, 10533727"
Human,Brain,T-helper 1 cell,"CCR6, CXCR3, IFNG, STAT1, STAT4, TBX21, TNF","36111134, 26667180"
Human,Brain,T-helper 17 cell,"CCR6, CXCR3, IL17A, STAT3","36111134, 26667180"
Human,Brain,T-helper 2 cell,"CCR6, CXCR3, TNFRSF8, GATA3, IL13, STAT5A, STAT6","36111134, 26667180, 12396479"
Human,Brain,Tanycyte,"GJA1, RAX",35688820
Human,Brain,Tumor-associated endothelial cell,"BGN, COL1A2",36054938
Human,Brain,Tumor-associated macrophage,"C1QA, ADAM8, AIF1, ARG2, BHLHE40, CCL2, CD14, CD68, CD74, CD93, CIB1, CIITA, CREM, CSF1R, CXCL8, CYBB, CYRIA, CYTH1, DOK3, DSE, EMB, FGR, FOSL2, FPR3, FXYD5, GPR132, GPR65, HLA-DMB, HLA-DQA1, HLA-DRA, HLA-DRB5, IFITM2, IL10, IL1RN, IQGAP1, ITGA4, KYNU, LYZ, MAFB, METRNL, MS4A6A, MS4A7, MXD1, NFIL3, PDE4B, PIM1, PLAC8, PLBD1, PLTP, PTPN7, S100A11, SAMHD1, SH3BGRL, SLC66A3, SPINT2, SPP1, SYNGR2, TGFBI, THBD, TMEM123, TNFSF13, TREM1, VOPP1","33782623, 35669791, 36111134, 32041837"
Human,Brain,Type 1 conventional dendritic cell,"CADM1, CLEC9A, XCR1",33782623
Human,Brain,Type 2 conventional dendritic cell,"CD1C, CLEC10A, FCER1A",33782623
Human,Brain,Vascular associated smooth muscle cell,ACTA2,32961131
Human,Brain,Vascular leptomeningeal cell,"DCN, LUM, OGN",35688820
Human,Penis,Endothelial cell,"ACKR1, CD34, CLDN5, CLEC14A, IFI27, PECAM1, VWF",33962884
Human,Penis,Fibroblast,"COL1A1, COL3A1, DCN, FBLN1, LUM, MMP2, THY1",33962884
Human,Penis,Myofibroblast cell,"ACTA2, COL1A1, COL3A1, DCN, FBLN1, IGFBP5, LUM, MMP2, STEAP4, TAGLN, THY1, TM4SF1",33962884
Human,Penis,Neutrophil,"ALPL, GCA",33962884
Human,Penis,Smooth muscle cell,"ACTA2, DES, FRZB, IGFBP5, MYH11, RERGL, TAGLN",33962884
Human,Penis,T cell,"CD3D, TRAC",33962884
Human,Pyloric gastric gland,Paneth cell,DEFA5,11499835
Human,Skin epidermis of prepuce of penis,Basal cell,"CDH3, KRT14, KRT5",32843640
Human,Skin epidermis of prepuce of penis,Keratinocyte,"DSC1, IVL, KRT2, TGM3",32843640
Human,Skin epidermis of prepuce of penis,Melanocyte,"MITF, MLANA",32843640
Human,Skin epidermis of prepuce of penis,Prickle cell,"CDH1, DSG1, KRT1, KRT10",32843640
Human,Skin of pes,Alternatively activated macrophage,CD163,35013299
Human,Skin of pes,B cell,"CD79A, MS4A1",35013299
Human,Skin of pes,"CD14-low, CD16-positive monocyte",FCGR3A,35013299
Human,Skin of pes,CD14-positive monocyte,"CD14, S100A9",35013299
Human,Skin of pes,Dendritic cell,"GZMB, IRF8",35013299
Human,Skin of pes,Differentiated keratinocyte,"KRT1, KRT10",35013299
Human,Skin of pes,Endothelial cell of lymphatic vessel,CCL21,35013299
Human,Skin of pes,Endothelial cell of vascular tree,ACKR1,35013299
Human,Skin of pes,Epithelial cell,DCD,35013299
Human,Skin of pes,Erythrocyte,HBB,35013299
Human,Skin of pes,Fibroblast,"CFD, DCN",35013299
Human,Skin of pes,Inflammatory macrophage,IL1B,35013299
Human,Skin of pes,Keratinocyte,"KRT14, KRT5",35013299
Human,Skin of pes,Mast cell,TPSAB1,35013299
Human,Skin of pes,Mature NK T cell,"CCL5, CD3D",35013299
Human,Skin of pes,Melanocyte,"CDH19, MLANA",35013299
Human,Skin of pes,Natural killer cell,"CCL5, GZMB",35013299
Human,Skin of pes,Plasma cell,MZB1,35013299
Human,Skin of pes,Schwann cell,"CDH19, MLANA",35013299
Human,Skin of pes,Sebaceous gland cell,DCD,35013299
Human,Skin of pes,Smooth muscle cell,"ACTA2, TAGLN",35013299
Human,Skin of pes,T cell,CD3D,35013299
Human,Skin of prepuce of penis,Epithelial fate stem cell,"CD46, SMCP","14573520, 23482486"
Human,Skin of prepuce of penis,Langerhans cell,"CD83, ARL4C, BIRC3, C15orf48, CCL22, CCR6, CCR7, CD14, CD1A, CD1B, CD1C, CD207, CD40, CD52, CLEC10A, CLPTM1, COTL1, CSF1R, CXCL8, EPCAM, HLA-DRA, HPGD, HPGDS, IDO1, IL1B, IL7R, IRF4, ITGAM, JUN, LGALS3, LMNA, LYZ, MMP9, NUB1, PIM3, PRKCB, PXDC1, STK17B",34508661
Human,Skin of prepuce of penis,Mesenchymal cell,"ENG, NT5E, THY1",35869528
Human,Skin of prepuce of penis,Mesenchymal stem cell,"CD34, CD44, ENG, HLA-ABC family, HLA-DR family, NT5E, THY1",22567895
Human,Skin of prepuce of penis,Pericyte,"CSPG4, MCAM, PDGFRB, RNF5",35869528
Human,Skin of prepuce of penis,Transit amplifying cell,FABP5,11113456
Human,Hippocampal formation,Arterial smooth muscle cell,"ACTA2, TAGLN",34798047
Human,Hippocampal formation,Astrocyte,"AQP4, CHRDL1, GFAP",34798047
Human,Hippocampal formation,Endothelial cell,"CLDN5, RGS5, VWF",34798047
Human,Hippocampal formation,Endothelial cell of artery,DKK2,34798047
Human,Hippocampal formation,Excitatory neuron,"FN1, ROBO1, SLC17A7",34798047
Human,Hippocampal formation,GABAergic interneuron,"GAD1, LAMP5, PVALB, SST, VIP",34798047
Human,Hippocampal formation,Granule cell,PROX1,34798047
Human,Hippocampal formation,Macrophage,F13A1,34798047
Human,Hippocampal formation,Microglial cell,C1QB,34798047
Human,Hippocampal formation,Mossy cell,ADCYAP1,34798047
Human,Hippocampal formation,Neural progenitor cell,"EOMES, NEUROG1, SOX2",34798047
Human,Hippocampal formation,Neuroblast (sensu Vertebrata),"DCX, NHLH1",34798047
Human,Hippocampal formation,Neuron,"ADRA1A, CUX2, RELN, THEMIS, TLE4",34798047
Human,Hippocampal formation,Oligodendrocyte,"CPXM2, LAMA2, LINC01098, MOBP, SLC5A11, SOX10",34798047
Human,Hippocampal formation,Oligodendrocyte precursor cell,"SOX10, EGR1, GPR17, GRIA4, PDGFRA",34798047
Human,Hippocampal formation,Pericyte,"ABCC9, CLDN5",34798047
Human,Hippocampal formation,Pyramidal neuron,"CFAP299, ACVR1C, GRIK1, GRM3, HGF, SYN3, SYT13",34798047
Human,Hippocampal formation,Radial glial cell,"PAX6, SOX2, VIM",34798047
Human,Hippocampal formation,T cell,SKAP1,34798047
Human,Hippocampal formation,Vascular associated smooth muscle cell,"ABCC9, P2RY14",34798047
Human,Hippocampal formation,Vascular leptomeningeal cell,"COL1A1, COL1A2",34798047
Human,Subcutaneous adipose tissue,Immature endothelial cell,"CD34, PECAM1",21572381
Human,Subcutaneous adipose tissue,Macrophage,"CD14, PTPRC",20531347
Human,Subcutaneous adipose tissue,Mature endothelial cell,"CD34, PECAM1",21572381
Human,Subcutaneous adipose tissue,Megakaryocyte progenitor cell,TFRC,26990635
Human,Subcutaneous adipose tissue,Mesenchymal stem cell,"ANPEP, CD34, CD44, ENG, ITGB1, MME, NANOG, PECAM1, POU5F1, SOX2, THBD, THY1","28545230, 20890444, 24527391"
Human,Subcutaneous adipose tissue,Monocyte,"CD14, PTPRC",20531347
Human,Subcutaneous adipose tissue,Pericyte,"CD34, MCAM, PECAM1",21572381
Human,Ileum,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Ileum,"Effector memory CD8-positive, alpha-beta T cell","CCL5, IL7R, PABPC1, PTPRC, TMSB4X",33232439
Human,Ileum,Endothelial cell,"AQP1, EMCN, EPAS1, PECAM1, PLVAP",32214235
Human,Ileum,Enterocyte,"ALDOB, APOA4, APOA1, APOB, APOC3, EPCAM, KRT20, KRT8, MUC2, PIGR, SELENOP, TFF3, TMEM37","32413319, 32214235, 31753849, 32199615"
Human,Ileum,Enterocyte of epithelium proper of ileum,"REG1A, TMSB4X",32413319
Human,Ileum,Enteroendocrine cell,"CHGA, CCK, CHGB, FEV, NEUROD1, VWA5B2","32413319, 31753849, 32199615"
Human,Ileum,Epithelial cell,"ALDOB, CAV1, CNFN, CRCT1, FABP1, FABP6, IGHA1, KRT18, KRT8, PHGR1, PIGR, REG1A, REG1B, S100A6, S100A8, S100A9, SELENOP, TMSB10, UPK3B","32214235, 33232439"
Human,Ileum,Goblet cell,"TFF3, SPINK4, BCAS1, REP15","32413319, 31753849, 32199615"
Human,Ileum,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Ileum,Mast cell,"CPA3, TPSAB1, TPSB2",32214235
Human,Ileum,Memory B cell,"BANK1, CD74, HLA-DRA, HLA-DRB1, MS4A1",33232439
Human,Ileum,Monocyte,"CMC2, FTL, HLA-DRB1, LYZ, MT-RNR2, NFKBIA, SPATA22, SRGN, TAOK1",33232439
Human,Ileum,Paneth cell,"CA7, DMBT1, SPIB",32199615
Human,Ileum,Paneth cell of epithelium of small intestine,"DEFA5, DEFA6","32413319, 31753849"
Human,Ileum,Plasma cell,"IGKC, JCHAIN, CD79A, ENAM, IGHA1, IGHA2, IGHG1, IGHG2, IGHG4, IGLC3, IGLC7, IGLL5, SSR4","32214235, 33232439"
Human,Ileum,Progenitor cell,"ALDOB, EPCAM, KRT18, KRT19, KRT8, OLFM4","32214235, 31753849, 32199615"
Human,Ileum,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",32214235
Human,Ileum,Stem cell,"ASCL2, RGMB, LGR5, OLFM4, PDZK1IP1, SMOC2, SPINK1, ZFP36L1","32413319, 31753849, 32199615"
Human,Ileum,Stromal cell,"DCN, LUM, MGP",32214235
Human,Ileum,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Ileum,Transit amplifying cell,"DMBT1, HMGB2, STMN1",32199615
Human,Ileum,Tuft cell of small intestine,"HPGDS, PLCG2",32413319
Human,Sputum,Eosinophil,"CD9, EPO","11978925, 1682072"
Human,Sputum,Neutrophil,LCN2,11978925
Human,Myometrium,Endothelial cell,"PECAM1, VWF",32607512
Human,Myometrium,Endothelial cell of lymphatic vessel,PROX1,32607512
Human,Myometrium,Fibroblast,"DCN, LUM",32607512
Human,Myometrium,Muscle precursor cell,CD44,25989979
Human,Myometrium,Natural killer cell,"GNLY, NKG7",32607512
Human,Myometrium,Smooth muscle cell,"ACTA2, CNN1",32607512
Human,Myometrium,T cell,CD3D,32607512
Human,Vasculature of liver,Endothelial cell,"COL8A1, DIXDC1, DKK3, GNA14, HBA1, HBA2, HBB, PTGS1, RSPO3",31242503
Human,Sigmoid colon,B cell,"CD74, CD79A",32214235
Human,Sigmoid colon,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Sigmoid colon,Enterocyte,"MUC2, TFF3",32214235
Human,Sigmoid colon,Epithelial cell,"KRT19, KRT20, KRT8",32214235
Human,Sigmoid colon,Mast cell,"CPA3, TPSAB1, TPSB2",32214235
Human,Sigmoid colon,Plasma cell,"CD79A, IGHA1, IGHA2, IGKC, JCHAIN",32214235
Human,Sigmoid colon,Progenitor cell,"EPCAM, KRT18, KRT19, KRT8, OLFM4",32214235
Human,Sigmoid colon,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",32214235
Human,Sigmoid colon,Stromal cell,"DCN, LUM, MGP",32214235
Human,Sigmoid colon,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Jejunum,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Jejunum,Enterocyte,"ALDOB, APOA4, APOA1, APOB, APOC3, EPCAM, KRT20, KRT8, PIGR, SELENOP","32214235, 35489715"
Human,Jejunum,Intestinal crypt stem cell,"ASCL2, CD24, CD44, LGR5, OLFM4, SMOC2, SOX9","35489715, 23553902"
Human,Jejunum,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Jejunum,Mast cell,"CPA3, TPSAB1, TPSB2",32214235
Human,Jejunum,Plasma cell,"IGKC, JCHAIN, CD79A, IGHA1, IGHA2, IGHG1, IGHG2, IGHG4",32214235
Human,Jejunum,Progenitor cell,"EPCAM, KRT18, KRT19, KRT8, OLFM4",32214235
Human,Jejunum,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",32214235
Human,Jejunum,Stromal cell,"DCN, LUM, MGP",32214235
Human,Jejunum,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Ascending colon,B cell,"CD74, CD79A",32214235
Human,Ascending colon,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Ascending colon,Plasma cell,"IGKC, JCHAIN, CD79A, IGHA1, IGHA2, IGHG1, IGHG2, IGHG4",32214235
Human,Ascending colon,Progenitor cell,"EPCAM, KRT18, KRT19, KRT8, OLFM4",32214235
Human,Ascending colon,Stromal cell,"DCN, LUM, MGP",32214235
Human,Ascending colon,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Uterus,B cell,"CD79A, MS4A1",36001050
Human,Uterus,Endothelial cell,"PECAM1, AQP1, CAV1, CDH11, EMCN, EPAS1, ICAM1, PLVAP, SELE, VWF","32214235, 36001050"
Human,Uterus,Epithelial cell,FOLR1,2481353
Human,Uterus,Fibroblast,"COL1A2, DCN, FN1, MGP, ALDH1A1, COL1A1, COL3A1, FBLN1, GSN, OGN, THY1, VIM","32214235, 36001050"
Human,Uterus,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Uterus,Mast cell,"CPA3, TPSAB1, TPSB2",32214235
Human,Uterus,Natural killer cell,"CD3D, CD3E, CD3G, FCGR3A, FCGR3B, GNLY, NCAM1, NKG7","36001050, 26105890"
Human,Uterus,Smooth muscle cell,"MYH11, TAGLN, ACTA2, MYL9, ACTG2, CALD1, CNN1, DES, MYL6, MYLK","32214235, 36001050"
Human,Uterus,Stem cell,"ICAM1, SUSD2",29575998
Human,Uterus,Stromal cell,"DCN, LUM, COL1A2, MGP",32214235
Human,Uterus,T cell,CD3D,36001050
Human,Ovarian cortex,Adventitial cell,"MCAM, MYH11, RERGL, RGS5, TAGLN",35263439
Human,Ovarian cortex,Germ cell,"DAZL, DDX4, DPPA3, IFITM3, PRDM1, SMC1A, SMC3, STAG3, STRA8, SYCP3, TUBB8",35263439
Human,Ovarian cortex,Germ line stem cell,"DDX4, IFITM3",29078734
Human,Ovarian cortex,Oocyte,"FIGLA, GDF9, NOBOX, OOSP2, ZP1, ZP2, ZP3",35263439
Human,Ovarian cortex,Pluripotent stem cell,"FUT4, NANOG, POU5F1, SOX2",29078734
Human,Ovarian cortex,Stem cell,"NANOG, POU5F1, SOX2",30043336
Human,Wall of blood vessel,Adventitial cell,"CD34, CD44, CSPG4, ENG, NT5E, THY1",24158496
Human,Wall of blood vessel,Mesenchymal cell,"ACTA2, ADGRE5, ALCAM, ANPEP, CD276, CD34, CD3D, CD3E, CD3G, CD44, CD55, CD58, CD59, CD63, CD9, CD99, CDH1, CSPG4, ENG, ERBB2, FZD9, ICAM1, IL4R, ITGA1, ITGA2, ITGA3, ITGA5, ITGA6, ITGAV, ITGB1, ITGB2, ITGB3, ITGB4, MCAM, MME, NCAM1, NGFR, NRP1, NT5E, PDGFRB, SLC3A2, TFRC, THY1, TNFRSF1A, VCAM1",24158496
Human,Wall of blood vessel,Mesenchymal stem cell,"ACTA2, ADGRE5, ALCAM, ANPEP, CD276, CD34, CD3D, CD3E, CD3G, CD44, CD55, CD58, CD59, CD63, CD9, CD99, CDH1, CSPG4, ENG, ERBB2, FZD9, ICAM1, IL4R, ITGA1, ITGA2, ITGA3, ITGA5, ITGA6, ITGAV, ITGB1, ITGB2, ITGB3, ITGB4, MCAM, MME, NCAM1, NGFR, NRP1, NT5E, PDGFRB, SLC3A2, TFRC, THY1, TNFRSF1A, VCAM1",24158496
Human,Wall of blood vessel,Pericyte,"ACTA2, ALCAM, ANPEP, CD44, CSPG4, ENG, ITGB1, MCAM, MME, NT5E, PDGFRA, PDGFRB, THY1",24158496
Human,Respiratory tract epithelium,Basal cell,"CD151, KRT5, TP63","31558434, 17008423"
Human,Respiratory tract epithelium,Club cell,SCGB1A1,31558434
Human,Respiratory tract epithelium,Deuterosomal cell,"CCNO, CEP78, PLK4",31558434
Human,Respiratory tract epithelium,Epithelial cell,"ANPEP, CD1D, CD24, CDH1, IL6R, IL6ST, ITGAE, NOS2, THBD, VCAM1",Company
Human,Respiratory tract epithelium,Goblet cell,MUC5AC,31558434
Human,Respiratory tract epithelium,Multi-ciliated epithelial cell,FOXJ1,31558434
Human,Embryonic brain,Endothelial cell,"CDH5, PECAM1",24513848
Human,Alveolus,Macrophage,"HLA-DR family, ITGAM, ITGB2",2141477
Human,Common bile duct,B cell,CD79A,35219893
Human,Common bile duct,"CD4-positive, alpha-beta T cell",CD4,33287869
Human,Common bile duct,"CD8-positive, alpha-beta T cell","CD8A, CD8B",33287869
Human,Common bile duct,Cholangiocyte,"AQP1, CFTR, GGT1, KRT19, KRT7",33287869
Human,Common bile duct,Endothelial cell,"VWF, ENG, KDR, PECAM1, PLVAP","33287869, 35219893"
Human,Common bile duct,Epithelial cell,EPCAM,35219893
Human,Common bile duct,Fibroblast,"COL1A1, CLU, COL1A2, DCN, MMP2, SFRP2","33287869, 35219893"
Human,Common bile duct,Macrophage,"C1QA, C1QB, C1QC, CD14, CD68, FCGR3A, FCGR3B","33287869, 35219893"
Human,Common bile duct,Mast cell,TPSB2,35219893
Human,Common bile duct,Monocyte,"S100A12, S100A8, S100A9, VCAN",33287869
Human,Common bile duct,Natural killer cell,CD7,"33287869, 35219893"
Human,Common bile duct,Neuron,NGFR,35219893
Human,Common bile duct,Neutrophil,FCGR3B,35219893
Human,Common bile duct,Schwann cell,"MAG, MBP, MPZ, NCAM1, PMP22, S100B",33287869
Human,Common bile duct,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",33287869
Human,Common bile duct,Stem cell,NOTCH3,35219893
Human,Common bile duct,T cell,"CD2, CD3D, CD3E","33287869, 35219893"
Human,Fetal stomach,Acinar cell,CPA2,32214235
Human,Fetal stomach,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Fetal stomach,Endothelial cell,"CAV1, CDH5, EMCN, ESAM, PECAM1, PLVAP",32214235
Human,Fetal stomach,Enterocyte,"AFP, AGR2, AGR3, EPCAM, FGB, KRT18, KRT8, TSPAN8",32214235
Human,Fetal stomach,Epithelial progenitor cell,"BEX3, SOX4",32214235
Human,Fetal stomach,Erythrocyte,"AHSP, HBA1, HBA2, HBG2, GYPA, HBB, HBG1, HBM",32214235
Human,Fetal stomach,Erythroid progenitor cell,"AHSP, BLVRB, NPM1, UROD",32214235
Human,Fetal stomach,Fibroblast,"ACTG1, BEX3, COL3A1, SOX4, STMN1",32214235
Human,Fetal stomach,Goblet cell,"KRT18, KRT8, MUC5AC, TFF1, TFF2",32214235
Human,Fetal stomach,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Fetal stomach,Mesenchymal stem cell,"COL1A1, COL1A2, COL3A1, COL12A1, COL5A2, DCN, LUM, OGN",32214235
Human,Fetal stomach,Neuron,"EDNRB, GAP43, PLP1, SOX4, STMN2, TUBA1B, UCHL1",32214235
Human,Fetal stomach,Smooth muscle cell,"ACTA2, MYL6, TAGLN",32214235
Human,Fetal stomach,Stromal cell,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, LUM",32214235
Human,Fetal stomach,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Paranasal sinus,Basal cell,"KRT5, MKI67, TP63",35608904
Human,Paranasal sinus,Brush cell,"AVIL, CFTR, FOXI1, POU2F3",35608904
Human,Paranasal sinus,Ciliated cell,"CDHR3, FOXJ1, TUBB4B",35608904
Human,Paranasal sinus,Early ciliated cell,"CDHR3, FOXJ1, FOXN4, TUBB4B",35608904
Human,Paranasal sinus,Goblet cell,"MUC5AC, MUC5B, SCGB3A1, SPDEF",35608904
Human,Paranasal sinus,Hillock cell,"KRT13, KRT5",35608904
Human,Paranasal sinus,Ionocyte,"AVIL, CFTR, FOXI1, POU2F3",35608904
Human,Paranasal sinus,Suprabasal cell,KRT5,35608904
Human,Fetal intestine,B cell,"CD74, CD79A",32214235
Human,Fetal intestine,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Fetal intestine,Endodermal cell,"AFP, APOA1, TTR",32214235
Human,Fetal intestine,Endothelial cell,"CAV1, CDH5, EMCN, ESAM, PECAM1, PLVAP",32214235
Human,Fetal intestine,Enterocyte,"AFP, AGR2, AGR3, EPCAM, FGB, KRT18, KRT8, TSPAN8",32214235
Human,Fetal intestine,Epithelial progenitor cell,"BEX3, SOX4",32214235
Human,Fetal intestine,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Fetal intestine,Memory T cell,"KLRB1, CCR6, CD69",30664737
Human,Fetal intestine,Mesenchymal stem cell,"COL1A1, COL1A2, COL3A1, COL12A1, COL5A2, DCN, LUM, OGN",32214235
Human,Fetal intestine,Monocyte,CD14,32214235
Human,Fetal intestine,Naive T cell,"CCR7, SELL",30664737
Human,Fetal intestine,Neuron,"GAP43, STMN2, UCHL1",32214235
Human,Fetal intestine,Progenitor cell,"EPCAM, KRT18, KRT19, KRT8, OLFM4",32214235
Human,Fetal intestine,Regulatory T cell,"IL2RA, ISG20",30664737
Human,Fetal intestine,Smooth muscle cell,"ACTA2, MYL6, TAGLN",32214235
Human,Fetal intestine,Stromal cell,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, LUM",32214235
Human,Fetal intestine,T cell,"CD3D, CD3E, CD69, TRAC, TRBC1, TRBC2, CCL5, CCR4, CD226, CTLA4, CXCR3, FAS, JAML, KIT, LAG3, PECAM1, TIGIT, TNFRSF18","32214235, 30664737"
Human,Thymus,B cell,"CD19, CD79A, MS4A1",35549406
Human,Thymus,CD16-negative natural killer cell,"CD160, GNLY, NKG7",35549406
Human,Thymus,CD16-positive natural killer cell,"FCGR3A, GNLY, NKG7",35549406
Human,Thymus,"CD4-intermediate, CD8-positive double-positive thymocyte","CCR9, SATB1, TOX2",35549406
Human,Thymus,"CD4-positive, alpha-beta cytotoxic T cell","CD4, GZMK, IL10",35549406
Human,Thymus,"Central memory CD4-positive, alpha-beta T cell","CCR7, CD4, SELL",35549406
Human,Thymus,"Central memory CD8-positive, alpha-beta T cell","CCR7, CD8A, SELL",35549406
Human,Thymus,Classical monocyte,"CD14, S100A12, S100A9",35549406
Human,Thymus,Dendritic cell,"ITGAX, CD80, CD83","15728467, 11929763"
Human,Thymus,Double negative thymocyte,"CD99, FXYD2, HES1",35549406
Human,Thymus,"Double-positive, alpha-beta thymocyte","CD1A, CD8A, SMPD3",35549406
Human,Thymus,Early pro-B cell,"IL7R, RAG1, ZCCHC7",35549406
Human,Thymus,"Effector memory CD4-positive, alpha-beta T cell","AQP3, CD4, CTLA4, ITGB1, KLRB1, PDCD1",35549406
Human,Thymus,"Effector memory CD8-positive, alpha-beta T cell","CCL5, CD8A, GZMK",35549406
Human,Thymus,Endothelial cell,"CLDN5, PLVAP, SPARCL1",35549406
Human,Thymus,Epithelial cell,"EPCAM, AIRE, CDR2, KRT8, PRSS16, PSMB11, PTPRC, CCL19, CCL25, CDH1, CHGA, CLDN4, FEZF2, FZD4, KRT14, KRT15, KRT17, KRT5, LY75, NEUROD1, WNT4","35549406, 34331993, 35371075, 24768153, 24084687"
Human,Thymus,Erythrocyte,"GYPA, HBM, HBQ1",35549406
Human,Thymus,Fibroblast,"COL1A1, COL1A2, DCN",35549406
Human,Thymus,"Group 3 innate lymphoid cell, human","IL4I1, KIT, RORC",35549406
Human,Thymus,Large pre-B cell,"CD24, MKI67, MME",35549406
Human,Thymus,Macrophage,"C1QA, CD68, TREM2",35549406
Human,Thymus,Mast cell,"CPA3, TPSAB1, TPSB2",35549406
Human,Thymus,Mature NK T cell,"CD8A, GNLY, NKG7",35549406
Human,Thymus,Memory B cell,"CD27, CR2, MS4A1",35549406
